% Auto-generated on Sun Mar 27 07:09:52 EEST 2016

%  'T:' Identifies the Attribute Title Line
%  'A:' Identifies Training Set Examples
%  'B:' Identifies Test Set Examples

T: price, maint-cost, doors, persons, trunk-size, safety, acceptable;
A: vhigh, vhigh, 2, 2, small, low, unacc;
A: vhigh, vhigh, 2, 2, small, med, unacc;
A: vhigh, vhigh, 2, 2, small, high, unacc;
A: vhigh, vhigh, 2, 2, med, low, unacc;
A: vhigh, vhigh, 2, 2, med, med, unacc;
A: vhigh, vhigh, 2, 2, med, high, unacc;
A: vhigh, vhigh, 2, 2, big, low, unacc;
A: vhigh, vhigh, 2, 2, big, med, unacc;
A: vhigh, vhigh, 2, 2, big, high, unacc;
A: vhigh, vhigh, 2, 4, small, low, unacc;
A: vhigh, vhigh, 2, 4, small, med, unacc;
A: vhigh, vhigh, 2, 4, small, high, unacc;
A: vhigh, vhigh, 2, 4, med, low, unacc;
A: vhigh, vhigh, 2, 4, med, med, unacc;
A: vhigh, vhigh, 2, 4, med, high, unacc;
A: vhigh, vhigh, 2, 4, big, low, unacc;
A: vhigh, vhigh, 2, 4, big, med, unacc;
A: vhigh, vhigh, 2, 4, big, high, unacc;
A: vhigh, vhigh, 2, more, small, low, unacc;
A: vhigh, vhigh, 2, more, small, med, unacc;
A: vhigh, vhigh, 2, more, small, high, unacc;
A: vhigh, vhigh, 2, more, med, low, unacc;
A: vhigh, vhigh, 2, more, med, med, unacc;
A: vhigh, vhigh, 2, more, med, high, unacc;
A: vhigh, vhigh, 2, more, big, low, unacc;
A: vhigh, vhigh, 2, more, big, med, unacc;
A: vhigh, vhigh, 2, more, big, high, unacc;
A: vhigh, vhigh, 3, 2, small, low, unacc;
A: vhigh, vhigh, 3, 2, small, med, unacc;
A: vhigh, vhigh, 3, 2, small, high, unacc;
A: vhigh, vhigh, 3, 2, med, low, unacc;
A: vhigh, vhigh, 3, 2, med, med, unacc;
A: vhigh, vhigh, 3, 2, med, high, unacc;
A: vhigh, vhigh, 3, 2, big, low, unacc;
A: vhigh, vhigh, 3, 2, big, med, unacc;
A: vhigh, vhigh, 3, 2, big, high, unacc;
A: vhigh, vhigh, 3, 4, small, low, unacc;
A: vhigh, vhigh, 3, 4, small, med, unacc;
A: vhigh, vhigh, 3, 4, small, high, unacc;
A: vhigh, vhigh, 3, 4, med, low, unacc;
A: vhigh, vhigh, 3, 4, med, med, unacc;
A: vhigh, vhigh, 3, 4, med, high, unacc;
A: vhigh, vhigh, 3, 4, big, low, unacc;
A: vhigh, vhigh, 3, 4, big, med, unacc;
A: vhigh, vhigh, 3, 4, big, high, unacc;
A: vhigh, vhigh, 3, more, small, low, unacc;
A: vhigh, vhigh, 3, more, small, med, unacc;
A: vhigh, vhigh, 3, more, small, high, unacc;
A: vhigh, vhigh, 3, more, med, low, unacc;
A: vhigh, vhigh, 3, more, med, med, unacc;
A: vhigh, vhigh, 3, more, med, high, unacc;
A: vhigh, vhigh, 3, more, big, low, unacc;
A: vhigh, vhigh, 3, more, big, med, unacc;
A: vhigh, vhigh, 3, more, big, high, unacc;
