% Auto-generated on Sun Mar 27 06:25:48 EEST 2016

%  'T:' Identifies the Attribute Title Line
%  'A:' Identifies Training Set Examples
%  'B:' Identifies Test Set Examples

T: Quests, PvP, Dungeons, Prof, Rep, Scenario, Pet, Predator;
A: 4, 4, 4, 4, 4, 4, 4, Nolife;
A: 4, 3, 4, 4, 4, 4, 4, Nolife;
A: 4, 4, 4, 4, 4, 4, 4, Nolife;
A: 4, 4, 4, 4, 4, 4, 2, Nolife;
A: 4, 4, 4, 4, 4, 4, 4, Nolife;
A: 4, 3, 4, 4, 4, 4, 4, Nolife;
A: 4, 4, 4, 4, 4, 4, 4, Nolife;
A: 4, 4, 4, 4, 4, 4, 2, Nolife;
A: 4, 4, 4, 4, 4, 4, 4, Nolife;
A: 4, 3, 4, 4, 4, 4, 4, Nolife;
A: 4, 3, 4, 4, 4, 3, 3, PvP;
A: 4, 2, 4, 4, 4, 4, 4, PvE;
A: 4, 2, 4, 3, 4, 4, 4, PvE;
A: 4, 2, 4, 4, 3, 3, 3, PvE;
A: 4, 1, 4, 3, 4, 3, 4, PvE;
A: 3, 1, 4, 2, 4, 3, 1, PvE;
A: 3, 3, 3, 3, 3, 2, 2, PvE;
A: 3, 2, 4, 2, 3, 4, 2, PvE;
A: 3, 2, 3, 2, 4, 3, 2, PvE;
A: 3, 1, 3, 3, 4, 2, 2, PvE;
A: 3, 2, 3, 2, 4, 2, 1, PvE;
A: 3, 1, 3, 3, 3, 3, 3, PvE;
A: 2, 2, 3, 3, 3, 3, 3, PvE;
A: 2, 1, 4, 2, 3, 2, 2, PvE;
A: 2, 2, 3, 3, 4, 3, 4, PvE;
A: 3, 2, 3, 3, 3, 3, 2, PvE;
A: 3, 1, 3, 2, 4, 3, 2, PvE;
A: 3, 1, 3, 2, 4, 3, 3, PvE;
A: 2, 1, 4, 2, 2, 3, 2, PvE;
A: 3, 2, 3, 2, 3, 3, 1, PvE;
A: 2, 2, 4, 2, 3, 1, 1, PvE;
A: 2, 2, 3, 3, 3, 3, 2, PvE;
A: 2, 2, 3, 2, 3, 2, 3, PvE;
A: 3, 1, 3, 2, 4, 3, 2, PvE;
A: 2, 2, 4, 2, 2, 2, 2, PvE;
A: 2, 2, 3, 3, 2, 3, 1, PvE;
A: 2, 2, 3, 3, 2, 3, 1, PvE;
A: 2, 2, 3, 2, 2, 3, 3, PvE;
A: 2, 2, 3, 2, 2, 2, 1, PvE;
A: 1, 2, 4, 1, 2, 4, 1, PvE;
A: 2, 2, 4, 2, 3, 3, 2, PvE;
A: 2, 2, 4, 2, 2, 2, 2, PvE;
A: 2, 2, 3, 2, 2, 3, 3, PvE;
A: 2, 2, 3, 2, 4, 3, 2, PvE;
A: 2, 2, 4, 2, 3, 3, 2, PvE;
